"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: GS1 XML EDI Logistics Inventory Report","Mapping: RIM Mapping"
"InventoryStatusModel","InventoryStatusModel","","","",0,*,"","","","null {[]} {[]}
","Enables a party to provide information on inventory levels","This is the logical model for the Inventory Status report - an information about the current status of a given inventory position. This is to be typically used in inventory counts - physical counts or estimates. It supports a report per status, per location, or a combination of both (which is how typically items are counted and reported).","","","","","","","","","",,,,,"",,,,"Element",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"InventoryStatusModel.id","InventoryStatusModel.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"InventoryStatusModel.extension","InventoryStatusModel.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"InventoryStatusModel.identifier","InventoryStatusModel.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","Unique identification of the inventory report","Unique identification of the inventory report","","","","","","","","","",,,,,"",,,,"InventoryStatusModel.identifier",0,1,"",""
"InventoryStatusModel.countType","InventoryStatusModel.countType","","","",0,1,"","","","code {[]} {[]}
","The type of counting - whether it is a manual counting, automated data capture, estimate..","The type of counting - whether it is a manual counting, automated data capture, estimate..","","","","","","","","","",,,,,"",,,,"InventoryStatusModel.countType",0,1,"",""
"InventoryStatusModel.requestIdentifier","InventoryStatusModel.requestIdentifier","","","",0,1,"","","","Identifier {[]} {[]}
","The logistics inventory report request, if applicable","The logistics inventory report request, if applicable","","","","","","","","","",,,,,"",,,,"InventoryStatusModel.requestIdentifier",0,1,"",""
"InventoryStatusModel.reportDateTime","InventoryStatusModel.reportDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of finalization of the report","Date and time of finalization of the report","","","","","","","","","",,,,,"",,,,"InventoryStatusModel.reportDateTime",0,1,"",""
"InventoryStatusModel.reporter","InventoryStatusModel.reporter","","","",0,1,"","","","Reference {[]} {[]}
","Person or entity that creates the report","Person or entity that creates the report","","","","","","","","","",,,,,"",,,,"InventoryStatusModel.reporter",0,1,"",""
"InventoryStatusModel.reportingPeriod","InventoryStatusModel.reportingPeriod","","","",0,1,"","","","Period {[]} {[]}
","The period to which the inventory status refers","The period to which the inventory status refers","","","","","","","","","",,,,,"",,,,"InventoryStatusModel.reportingPeriod",0,1,"",""
"InventoryStatusModel.inventoryListing","InventoryStatusModel.inventoryListing","","","",0,*,"","","","BackboneElement {[]} {[]}
","Contains the inventory information entries","Contains the inventory information entries","","","","","","","","","",,,,,"",,,,"InventoryStatusModel.inventoryListing",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InventoryStatusModel.inventoryListing.id","InventoryStatusModel.inventoryListing.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"InventoryStatusModel.inventoryListing.extension","InventoryStatusModel.inventoryListing.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"InventoryStatusModel.inventoryListing.modifierExtension","InventoryStatusModel.inventoryListing.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"InventoryStatusModel.inventoryListing.location","InventoryStatusModel.inventoryListing.location","","","",0,1,"","","","Reference {[]} {[]}
","Identification of the site where the items are located","Identification of the site where the items are located","","","","","","","","","",,,,,"",,,,"InventoryStatusModel.inventoryListing.location",0,1,"",""
"InventoryStatusModel.inventoryListing.status","InventoryStatusModel.inventoryListing.status","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The inventory status of a set of items (of the same type) at a specific sub-location at a specific point in time","The inventory status of a set of items (of the same type) at a specific sub-location at a specific point in time","","","","","","","","","",,,,,"",,,,"InventoryStatusModel.inventoryListing.status",0,1,"",""
"InventoryStatusModel.inventoryListing.items","InventoryStatusModel.inventoryListing.items","","","",0,*,"","","","BackboneElement {[]} {[]}
","The inventory items","The inventory items","","","","","","","","","",,,,,"",,,,"InventoryStatusModel.inventoryListing.items",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InventoryStatusModel.inventoryListing.items.id","InventoryStatusModel.inventoryListing.items.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"InventoryStatusModel.inventoryListing.items.extension","InventoryStatusModel.inventoryListing.items.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"InventoryStatusModel.inventoryListing.items.modifierExtension","InventoryStatusModel.inventoryListing.items.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"InventoryStatusModel.inventoryListing.items.category","InventoryStatusModel.inventoryListing.items.category","","","",0,*,"","","","code {[]} {[]}
","The category of the inventory items","The category of the inventory items","","","","","","","","","",,,,,"",,,,"InventoryStatusModel.inventoryListing.items.category",0,*,"",""
"InventoryStatusModel.inventoryListing.items.quantity","InventoryStatusModel.inventoryListing.items.quantity","","","",0,1,"","","","Quantity {[]} {[]}
","Quantity of items","Quantity of items","","","","","","","","","",,,,,"",,,,"InventoryStatusModel.inventoryListing.items.quantity",0,1,"",""
"InventoryStatusModel.inventoryListing.items.item","InventoryStatusModel.inventoryListing.items.item","","","",0,1,"","","","BackboneElement {[]} {[]}
","An item or set of items (of the same type and status)","An item or set of items (of the same type and status)","","","","","","","","","",,,,,"",,,,"InventoryStatusModel.inventoryListing.items.item",0,1,"",""
"InventoryStatusModel.inventoryListing.countingDateTime","InventoryStatusModel.inventoryListing.countingDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","The time that the inventory items in this listing were physically checked","The time that the inventory items in this listing were physically checked","","","","","","","","","",,,,,"",,,,"InventoryStatusModel.inventoryListing.countingDateTime",0,1,"",""
